ID,LABELS,X.COR,Y.COR
AD19-020,LM5,3668,3184
AD19-020,LM6,3705,3042
AD19-020,LM7,3676,2891
AD19-020,LM8,3264,2858
AD19-020,LM9,3170,2805
AD19-020,LM10,2930,2726
AD19-020,LM11,2451,2813
AD19-020,LM12,2394,2837
AD19-020,LM13,2642,2968
AD19-020,LM14,2681,2870
AD19-020,LM15,2308,3023
AD19-020,LM16,2426,3040
AD19-021,LM1,2016,1864
AD19-021,LM2,2333,1975
AD19-021,LM3,2799,2060
AD19-021,LM4,3175,1984
AD19-021,LM5,3555,1968
AD19-021,LM6,3579,1838
AD19-021,LM7,3553,1663
AD19-021,LM8,3132,1637
AD19-021,LM9,3061,1581
AD19-021,LM10,2768,1503
AD19-021,LM11,2291,1607
AD19-021,LM12,2236,1633
AD19-021,LM13,2468,1732
AD19-021,LM14,2493,1632
AD19-021,LM15,2116,1825
AD19-021,LM16,2237,1827
AD19-022,LM1,2122,1489
AD19-022,LM2,2433,1637
AD19-022,LM3,2830,1728
AD19-022,LM4,3217,1669
AD19-022,LM5,3580,1686
AD19-022,LM6,3622,1544
AD19-022,LM7,3584,1378
AD19-022,LM8,3192,1322
AD19-022,LM9,3083,1275
AD19-022,LM10,2819,1232
AD19-022,LM11,2413,1285
AD19-022,LM12,2356,1299
AD19-022,LM13,2566,1424
AD19-022,LM14,2600,1339
AD19-022,LM15,2217,1477
AD19-022,LM16,2333,1475
AD19-023,LM1,2364,3250
AD19-023,LM2,2638,3368
AD19-023,LM3,3115,3463
AD19-023,LM4,3509,3383
AD19-023,LM5,3887,3358
AD19-023,LM6,3925,3208
AD19-023,LM7,3893,3041
AD19-023,LM8,3442,3046
AD19-023,LM9,3368,2995
AD19-023,LM10,3113,2917
AD19-023,LM11,2601,3034
AD19-023,LM12,2591,3037
AD19-023,LM13,2810,3167
AD19-023,LM14,2841,3062
AD19-023,LM15,2463,3239
AD19-023,LM16,2580,3251
AD19-024,LM1,2134,2991
AD19-024,LM2,2462,3127
AD19-024,LM3,2889,3235
AD19-024,LM4,3337,3168
AD19-024,LM5,3714,3152
AD19-024,LM6,3731,2981
AD19-024,LM7,3706,2812
AD19-024,LM8,3289,2780
AD19-024,LM9,3185,2714
AD19-024,LM10,2909,2638
AD19-024,LM11,2398,2748
AD19-024,LM12,2347,2766
AD19-024,LM13,2623,2895
AD19-024,LM14,2654,2791
AD19-024,LM15,2249,2980
AD19-024,LM16,2376,2982
AD19-025,LM1,2339,3217
AD19-025,LM2,2586,3348
AD19-025,LM3,2872,3449
AD19-025,LM4,3163,3418
AD19-025,LM5,3418,3431
